municipio;uf;nome.municipio.sub;uf.sub
MANUEL URBANO;AC;MANOEL URBANO;AC
SANTA ROSA;AC;SANTA ROSA DO PURUS;AC
QUEBRÂNGULO;AL;QUEBRANGULO;AL
SENADOR TEOTÔNIO VILELA;AL;TEOTÔNIO VILELA;AL
TRAIPÚ;AL;TRAIPU;AL
SANTO ANTONIO DO IÇÁ;AM;SANTO ANTÔNIO DO IÇÁ;AM
AMAPARI;AP;PEDRA BRANCA DO AMAPARI;AP
LARANJAL DO JARÍ;AP;LARANJAL DO JARI;AP
VITÓRIA DO JARÍ;AP;VITÓRIA DO JARI;AP
ARAÇÁS;BA;ARAÇAS;BA
CAEM;BA;CAÉM;BA
CAMACÃ;BA;CAMACAN;BA
GOVERNADOR LOMANTO JÚNIOR;BA;;
ITAETÊ;BA;ITAETÉ;BA
IUIU;BA;IUIÚ;BA
LUIS EDUARDO MAGALHÃES;BA;LUÍS EDUARDO MAGALHÃES;BA
MUQUÉM DO SÃO FRANCISCO;BA;MUQUÉM DE SÃO FRANCISCO;BA
PALMAS DO MONTE ALTO;BA;PALMAS DE MONTE ALTO;BA
QUINJINGUE;BA;QUIJINGUE;BA
SANTA CRUZ DE CABRÁLIA;BA;SANTA CRUZ CABRÁLIA;BA
SANTA TEREZINHA;BA;SANTA TERESINHA;BA
SANTO ESTEVÃO;BA;SANTO ESTÊVÃO;BA
VEREDAS;BA;VEREDA;BA
ITAPAGÉ;CE;ITAPAJÉ;CE
ATÍLIO VIVACQUA;ES;ATILIO VIVACQUA;ES
SANTA MARIA DO JETIBÁ;ES;SANTA MARIA DE JETIBÁ;ES
ANHANGÜERA;GO;ANHANGUERA;GO
ÁGUA DOCE;MA;ÁGUA DOCE DO MARANHÃO;MA
ARAIÓSES;MA;ARAIOSES;MA
BELA VISTA;MA;BELA VISTA DO MARANHÃO;MA
CONCEIÇÃO DO LAGO AÇU;MA;CONCEIÇÃO DO LAGO-AÇU;MA
GOVERNADOR EDSON LOBÃO;MA;GOVERNADOR EDISON LOBÃO;MA
ITAPECURU-MIRIM;MA;ITAPECURU MIRIM;MA
LUIS DOMINGUES DO MARANHÃO;MA;LUÍS DOMINGUES;MA
OLHO D`ÁGUA DAS CUNHÃS;MA;OLHO D'ÁGUA DAS CUNHÃS;MA
PRESIDENTE MEDICI;MA;PRESIDENTE MÉDICI;MA
SÃO JOÃO DO CARU;MA;SÃO JOÃO DO CARÚ;MA
SÃO JOÃO DO SÓTER;MA;SÃO JOÃO DO SOTER;MA
SÃO JOSÉ DOS BASILIOS;MA;SÃO JOSÉ DOS BASÍLIOS;MA
SÃO LUIS GONZAGA DO MARANHÃO;MA;SÃO LUÍS GONZAGA DO MARANHÃO;MA
SÃO RAIMUNDO DA DOCA BEZERRA;MA;SÃO RAIMUNDO DO DOCA BEZERRA;MA
SENADOR LA ROQUE;MA;SENADOR LA ROCQUE;MA
BRASÓPOLIS;MG;BRAZÓPOLIS;MG
OLHOS D'ÁGUA;MG;OLHOS-D'ÁGUA;MG
PASSA VINTE;MG;PASSA-VINTE;MG
PINGO D'ÁGUA;MG;PINGO-D'ÁGUA;MG
SANTA RITA DO IBITIPOCA;MG;SANTA RITA DE IBITIPOCA;MG
SAPUCAÍ MIRIM;MG;SAPUCAÍ-MIRIM;MG
SEM PEIXE;MG;SEM-PEIXE;MG
NOVA BANDEIRANTE;MT;NOVA BANDEIRANTES;MT
NOVO SANTO ANTONIO;MT;NOVO SANTO ANTÔNIO;MT
ELDORADO DOS CARAJÁS;PA;ELDORADO DO CARAJÁS;PA
ALGODÃO DE JANDAIRA;PB;ALGODÃO DE JANDAÍRA;PB
BAIA DA TRAIÇÃO;PB;BAÍA DA TRAIÇÃO;PB
BARAÚNAS;PB;BARAÚNA;PB
CAMPO DE SANTANA;PB;JOCA CLAUDINO;PB
JUAREZ TAVORA;PB;JUAREZ TÁVORA;PB
QUIXABÁ;PB;QUIXABA;PB
SANTA CECILIA DE UMBUZEIRO;PB;SANTA CECÍLIA;PB
SANTARÉM;PB;;
SÃO DOMINGOS DE POMBAL;PB;SÃO DOMINGOS;PB
SÃO JOSÉ DO BREJO CRUZ;PB;SÃO JOSÉ DO BREJO DO CRUZ;PB
BELÉM DE SÃO FRANCISCO;PE;BELÉM DO SÃO FRANCISCO;PE
IGUARACI;PE;IGUARACY;PE
ITAMARACÁ;PE;ILHA DE ITAMARACÁ;PE
ALAGOINHA;PI;ALAGOINHA DO PIAUÍ;PI
LUIS CORREIA;PI;LUÍS CORREIA;PI
ANTONIO OLINTO;PR;ANTÔNIO OLINTO;PR
DIAMANTE DO OESTE;PR;DIAMANTE D'OESTE;PR
ITAPEJARA DO OESTE;PR;ITAPEJARA D'OESTE;PR
MUNHOZ DE MELLO;PR;MUNHOZ DE MELO;PR
SANTA CRUZ DO MONTE CASTELO;PR;SANTA CRUZ DE MONTE CASTELO;PR
SANTO ANTONIO DO CAIUÁ;PR;SANTO ANTÔNIO DO CAIUÁ;PR
SANTO ANTONIO DO PARAÍSO;PR;SANTO ANTÔNIO DO PARAÍSO;PR
ARMAÇÃO DE BÚZIOS;RJ;ARMAÇÃO DOS BÚZIOS;RJ
CAMPOS;RJ;CAMPOS DOS GOYTACAZES;RJ
PARATI;RJ;PARATY;RJ
PATI DO ALFERES;RJ;PATY DO ALFERES;RJ
TRAJANO DE MORAIS;RJ;TRAJANO DE MORAES;RJ
VARRE E SAI;RJ;VARRE-SAI;RJ
BOA SAÚDE;RN;;
CAMPO GRANDE;RN;;
CERRO-CORÁ;RN;CERRO CORÁ;RN
FERNANDO PEDROSA;RN;FERNANDO PEDROZA;RN
LUIS GOMES;RN;LUÍS GOMES;RN
OLHO D'ÁGUA DO BORGES;RN;OLHO-D'ÁGUA DO BORGES;RN
SÃO BENTO DO TRAIRI;RN;SÃO BENTO DO TRAIRÍ;RN
SÃO JOSÉ DE CAMPESTRE;RN;SÃO JOSÉ DO CAMPESTRE;RN
VENHA VER;RN;VENHA-VER;RN
ALTA FLORESTA DO OESTE;RO;ALTA FLORESTA D'OESTE;RO
ALVORADA DO OESTE;RO;ALVORADA D'OESTE;RO
ESPIGÃO DO OESTE;RO;ESPIGÃO D'OESTE;RO
MACHADINHO DO OESTE;RO;MACHADINHO D'OESTE;RO
NOVA BRASILÂNDIA;RO;NOVA BRASILÂNDIA D'OESTE;RO
SANTA LUZIA DO OESTE;RO;SANTA LUZIA D'OESTE;RO
SÃO FELIPE DO OESTE;RO;SÃO FELIPE D'OESTE;RO
AMAJARÍ;RR;AMAJARI;RR
SÃO JOÃO DO BALIZA;RR;SÃO JOÃO DA BALIZA;RR
SÃO LUIZ DO ANAUÁ;RR;SÃO LUIZ;RR
CANGUÇÚ;RS;CANGUÇU;RS
ENTRE IJUÍS;RS;ENTRE-IJUÍS;RS
MAÇAMBARA;RS;MAÇAMBARÁ;RS
NOVO XINGÚ;RS;NOVO XINGU;RS
PÂNTANO GRANDE;RS;PANTANO GRANDE;RS
SANTANA DO LIVRAMENTO;RS;SANT'ANA DO LIVRAMENTO;RS
SINIMBÚ;RS;SINIMBU;RS
TAQUARUÇÚ DO SUL;RS;TAQUARUÇU DO SUL;RS
GRÃO-PARÁ;SC;GRÃO PARÁ;SC
LAURO MÜLLER;SC;LAURO MULLER;SC
LUÍS ALVES;SC;LUIZ ALVES;SC
PRESIDENTE CASTELO BRANCO;SC;PRESIDENTE CASTELLO BRANCO;SC
SÃO CRISTÓVÃO DO SUL;SC;SÃO CRISTOVÃO DO SUL;SC
AMPARO DO SÃO FRANCISCO;SE;AMPARO DE SÃO FRANCISCO;SE
CANINDÉ DO SÃO FRANCISCO;SE;CANINDÉ DE SÃO FRANCISCO;SE
GRACCHO CARDOSO;SE;GRACHO CARDOSO;SE
ARCO ÍRIS;SP;ARCO-ÍRIS;SP
BADY BASSIT;SP;BADY BASSITT;SP
BIRITIBA MIRIM;SP;BIRITIBA-MIRIM;SP
EMBU;SP;EMBU DAS ARTES;SP
IPAUÇU;SP;IPAUSSU;SP
LUISIÂNIA;SP;LUIZIÂNIA;SP
MOJI-GUACU;SP;MOGI GUAÇU;SP
MOJI-MIRIM;SP;MOGI MIRIM;SP
SANTO ANTÔNIO DA POSSE;SP;SANTO ANTÔNIO DE POSSE;SP
SUD MENUCCI;SP;SUD MENNUCCI;SP
TARABAÍ;SP;TARABAI;SP
BANDEIRANTE DO TOCANTINS;TO;BANDEIRANTES DO TOCANTINS;TO
COUTO DE MAGALHÃES;TO;COUTO MAGALHÃES;TO
MONTE SANTO;TO;MONTE SANTO DO TOCANTINS;TO
SÃO VALÉRIO DO TOCANTINS;TO;SÃO VALÉRIO;TO
